date,article_count,total_pv,total_like,total_comment,follower_count
2026-02-07,59,5537,949,194,158
2026-02-08,60,5667,974,199,158
2026-02-09,61,5801,993,210,163
2026-02-11,63,6011,1041,224,165
2026-02-12,64,6113,1057,231,166
2026-02-13,65,6262,1081,242,170
2026-02-14,66,6421,1108,256,168
2026-02-15,67,6552,1134,264,171
2026-02-16,68,6713,1163,279,173
2026-02-17,69,6791,1186,281,177
2026-02-18,70,6909,1201,294,178
2026-02-19,71,6989,1218,297,179
2026-02-20,72,7194,1255,318,185
2026-02-21,73,7432,1294,346,192
2026-02-22,74,7616,1321,357,193
2026-02-23,75,7772,1343,370,193
2026-02-24,76,7925,1365,373,192
2026-02-25,77,8089,1393,378,195
2026-02-26,78,8314,1418,399,195
2026-02-27,79,8479,1443,405,198
2026-02-28,81,8752,1486,445,207
2026-03-01,82,9012,1522,466,211
2026-03-02,83,9170,1552,473,213
2026-03-03,84,9436,1587,495,206
2026-03-04,85,9623,1619,509,208
2026-03-05,86,9827,1651,520,209
2026-03-06,87,10022,1688,533,212
2026-03-07,88,10164,1715,540,212
2026-03-08,89,10305,1742,546,212
2026-03-09,90,10450,1769,564,213
2026-03-10,91,10598,1788,573,214
2026-03-11,92,10725,1808,591,212
2026-03-12,93,10876,1838,596,213
2026-03-13,94,11059,1861,620,212
2026-03-14,95,11251,1902,634,214
2026-03-15,96,11472,1932,648,217
2026-03-17,97,11688,1966,666,219
2026-03-18,98,11869,1986,677,223
2026-03-19,100,12266,2042,707,230
2026-03-20,101,12522,2080,720,233
2026-03-21,102,12812,2125,735,238
2026-03-22,103,13073,2180,761,251
2026-03-23,104,13489,2235,787,256
2026-03-24,105,13987,2354,809,269
2026-03-25,106,14736,2461,893,285
2026-03-26,107,15618,2567,944,301
2026-03-27,108,16168,2655,961,309
2026-03-28,109,16671,2731,1005,314
2026-03-29,110,17174,2826,1040,324
2026-03-30,111,17605,2898,1058,326
2026-03-31,112,18189,2965,1101,334
2026-04-01,113,18619,3033,1118,335
2026-04-02,114,19003,3101,1134,338
2026-04-03,115,19342,3166,1151,341
2026-04-04,116,19873,3227,1173,341
2026-04-05,117,20282,3275,1190,344
2026-04-06,118,20811,3327,1210,346
2026-04-07,119,21378,3414,1240,352
2026-04-08,120,21782,3478,1252,353
2026-04-09,121,22102,3539,1266,359
2026-04-10,122,22462,3589,1280,358
2026-04-11,123,22859,3654,1308,360
2026-04-12,124,23232,3709,1326,362
2026-04-13,125,23656,3774,1340,369
2026-04-14,126,24211,3835,1361,372
2026-04-15,127,24612,3890,1395,373
2026-04-16,128,25037,3948,1418,378
2026-04-17,129,25433,4014,1434,383
2026-04-18,130,25770,4058,1447,384
2026-04-19,131,26151,4121,1472,394
2026-04-20,132,26635,4197,1492,395
2026-04-21,133,26949,4249,1506,397
